,feature1,feature2,scores,improvement
0,sqft_living,sqft_lot,0.5390889953686447,0.0003936336963020759
1,sqft_living,floors,0.5394648092237231,0.00076944755138042
2,sqft_living,bedrooms,0.5389878168398416,0.0002924551674989839
3,sqft_living,bathrooms,0.5387102120430471,1.4850370704477811e-05
4,sqft_living,condition,0.5424385793409483,0.003743217668605636
5,sqft_living,grade,0.5395323873887896,0.0008370257164469486
6,sqft_living,comparative_sf,0.5386838294818401,-1.1532190502538953e-05
7,sqft_living,comparative_lot,0.538741459343521,4.6097671178357835e-05
8,sqft_lot,floors,0.5388048735959332,0.00010951192359054396
9,sqft_lot,bedrooms,0.5386619795949277,-3.338207741498955e-05
10,sqft_lot,bathrooms,0.5386438881215505,-5.147355079215821e-05
11,sqft_lot,condition,0.5391442817160564,0.00044892004371377414
12,sqft_lot,grade,0.5397145675362965,0.001019205863953876
13,sqft_lot,comparative_sf,0.5392706170446935,0.0005752553723508136
14,sqft_lot,comparative_lot,0.538638199612496,-5.7162059846627145e-05
15,floors,bedrooms,0.538695402758021,4.108567830396481e-08
16,floors,bathrooms,0.5388704395422865,0.00017507786994386265
17,floors,condition,0.542590705520748,0.003895343848405286
18,floors,grade,0.5388461686661848,0.00015080699384217855
19,floors,comparative_sf,0.5406699189274669,0.0019745572551241874
20,floors,comparative_lot,0.5386502570629116,-4.510460943107919e-05
21,bedrooms,bathrooms,0.5397730608068423,0.0010776991344996212
22,bedrooms,condition,0.5393942549653069,0.0006988932929642422
23,bedrooms,grade,0.5387236222731782,2.8260600835494643e-05
24,bedrooms,comparative_sf,0.5389571015850592,0.00026173991271649655
25,bedrooms,comparative_lot,0.5386148089844546,-8.055268788809133e-05
26,bathrooms,condition,0.5424015931267183,0.0037062314543756525
27,bathrooms,grade,0.5386703315426855,-2.5030129657155342e-05
28,bathrooms,comparative_sf,0.5407009942494717,0.002005632577129046
29,bathrooms,comparative_lot,0.5386134284218966,-8.193325044603128e-05
30,condition,grade,0.5424462267360444,0.0037508650637017027
31,condition,comparative_sf,0.5387031858932085,7.824220865870757e-06
32,condition,comparative_lot,0.5390186393636176,0.0003232776912749369
33,grade,comparative_sf,0.5390616638744051,0.0003663022020624629
34,grade,comparative_lot,0.538864882132817,0.00016952046047435942
35,comparative_sf,comparative_lot,0.5386463618724762,-4.899979986650038e-05
